Distance (m),Elevation (m)
0,206.808075
10.42861883,206.9142914
20.85723765,206.9317169
31.28585648,207.2987061
41.7144753,207.2365875
52.14309413,207.6006165
62.57171295,207.9228363
73.00033178,208.1719666
83.42895061,207.2605133
93.85756943,207.2605133
104.2861883,208.446701
114.7148071,209.1090546
125.1434259,209.357666
135.5720447,209.3439789
146.0006636,209.3439789
156.4292824,208.6728668
166.8579012,208.2587891
177.28652,210.4556885
187.7151389,211.2743225
198.1437577,210.7938538
208.5723765,210.7938538
219.0009953,210.1859283
229.4296142,211.4688721
239.858233,211.526535
250.2868518,212.7535858
260.7154706,212.7535858
271.1440895,213.1193848
281.5727083,212.5375214
292.0013271,212.2859192
302.4299459,210.9647064
312.8585648,212.2089539
323.2871836,213.1722412
333.7158024,212.7159271
344.1444213,213.0465393
354.5730401,212.88237
365.0016589,212.6075592
375.4302777,212.6075592
385.8588966,212.8781433
396.2875154,213.1422272
406.7161342,213.2033997
417.144753,212.7976685
427.5733719,212.7967224
438.0019907,212.7967224
448.4306095,213.4643555
458.8592283,213.3124542
469.2878472,213.5430908
479.716466,213.2920074
490.1450848,213.2920074
500.5737036,215.1031799
511.0023225,214.7612
521.4309413,213.9054565
531.8595601,214.7868195
542.2881789,215.0313263
552.7167978,215.0313263
563.1454166,213.3833466
573.5740354,213.5603943
584.0026542,212.9620514
594.4312731,210.0283051
604.8598919,213.3708191
615.2885107,212.9013977
625.7171295,212.1870728
636.1457484,212.538681
646.5743672,212.538681
657.002986,207.3213501
667.4316049,206.6862488
677.8602237,211.6885834
688.2888425,212.3777924
698.7174613,212.3777924
709.1460802,210.617569
719.574699,209.5813904
730.0033178,210.9529572
740.4319366,211.7646637
750.8605555,211.1408691
761.2891743,211.1408691
771.7177931,211.0424957
782.1464119,211.5699615
792.5750308,211.7586212
803.0036496,211.4707184
813.4322684,211.4707184
823.8608872,212.320816
834.2895061,212.2757568
844.7181249,213.1362152
855.1467437,212.7419586
865.5753625,212.9080353
876.0039814,212.9080353
886.4326002,213.1842957
896.861219,211.9884338
907.2898378,209.9986725
917.7184567,207.9427795
928.1470755,210.2623749
938.5756943,210.2623749
949.0043131,215.5106812
959.432932,213.4897766
969.8615508,212.8553925
